Date,Name,Description,Component,Affiliate Name,Class Name,Fully Formatted Result,Is Personal Record,Personal Record Description,Is Rx,Is Rx Plus,Result Type Label,Full Comment
10/18/2019,Crossfit Games Open 20.2 (Ages 16-54),"Complete as many rounds as possible in 20 minutes of:

4 dumbbell thrusters
6 toes-to-bars
24 double-unders

50-lb/35-lb dumbbells",13559554,Fitness Battalion,CrossFit: 12:00,474 Reps,0,,1,0,AMRAP - Reps,
10/18/2019,Max Double-Unders,Max set of Unbroken Double-Unders,165,Fitness Battalion,CrossFit: 12:00,30 Reps,0,,1,0,AMRAP - Reps,
10/18/2019,2min Double-Unders,Get as many double-unders as possible in two minutes. Record your largest unbroken set in the notes,8435223,Fitness Battalion,CrossFit: 12:00,100 Reps,0,,1,0,AMRAP - Reps,
10/16/2019,Metcon,"180m Indoor Sled Push [2x45/1x45]
6 DB Burpees [50s/35s]
6 Strict CTB Pull Ups
3 DB Burpees
3 Strict CTB Pull Ups
AMRAP BS [205/125]
3 DB Burpees
3 Strict CTB Pull Ups
6 DB Burpees
6 Strict CTB Pull Ups
180m Indoor Sled Push
6 DB Burpees
6 Strict CTB Pull Ups
3 DB Burpees
3 Strict CTB Pull Ups
AMRAP BS
3 DB Burpees
3 Strict CTB Pull Ups
6 DB Burpees
6 Strict CTB Pull Ups
180m Indoor Sled Push",13488330,Fitness Battalion,CrossFit: 18:30,43:45,0,,1,0,Time,
10/15/2019,Metcon,"30 Bench Presses [135/85]
9 Power Snatches
20 Bench Presses
7 Power Snatches
10 Bench Presses
5 Power Snatches",13488307,Fitness Battalion,CrossFit Coaches Class,14:25,0,,1,0,Time,
10/12/2019,Crossfit Sprint Tri,"Crossfit Sprint Triathlon

""Fran""
21-15-9
Thrusters
Pull Ups

Then

5k Row
or
5k Run
or
10k Bike

Then

10!
Back Squats [225/135]
Deadlifts [225/135]
OR
""Karen""
150 WB Shots",11970288,Fitness Battalion,CrossFit: 09:00,0:00,0,,0,0,Time,"Fran = 7:10
18:40 10K bike"
10/11/2019,Crossfit Games Open 20.1 (Ages 16-54),"10 rounds for time of:
8 ground-to-overheads, 95 lb/65lb
10 bar-facing burpees

Time cap: 15 minutes",13492316,Fitness Battalion,CrossFit: 12:00,13:36,0,,1,0,Time,all 180 reps
10/09/2019,Death by Vested Burpee Broad Jumps,"1st minute do 1
2nd minute do 2
3rd minute do 3
...
Continue until you cannot complete the required reps within a minute

Vest is [20/10] pounds, and jump is [6/4] feet",13456837,Fitness Battalion,CrossFit: 18:30,12 + 11,0,,1,0,AMRAP - Rounds and Reps,
10/04/2019,Metcon,"15min AMRAP
1000m Bike
12 DL [155/105]
9 Hang Power Cleans
6 Push Jerks",13381687,Fitness Battalion,CrossFit: 12:00,3 + 1014,0,,1,0,AMRAP - Rounds and Reps,
10/03/2019,Metcon,"21-15-9
DB Clean and Jerks [50s/35s]
GHD Sit Ups",13381673,Fitness Battalion,CrossFit Coaches Class,6:10,0,,1,0,Time,
10/02/2019,Jackie,"For Time:  
1000m Row  
50 Thrusters, 45#  
30 Pull-ups",146,Fitness Battalion,CrossFit: 18:30,8:56,0,,1,0,Time,
10/01/2019,Metcon,"3 Rounds
20 Box Dips
60m Bear Crawl
5 Bar MU",13381648,Fitness Battalion,CrossFit Coaches Class,10:50,0,,0,0,Time,"legs, banded mu"
09/30/2019,Lumberjack Cap,"20 Deadlifts [185/115]
400m Run
20 KB swings [53/35]
400m Run
20 Overhead Squats [75/55]
400m Run
20 Burpees
400m Run
20 Pullups
400m Run
20 Box Jumps [20""]
400m Run
20 KB Squat Cleans [35s/26s]
400m Run",7775060,Fitness Battalion,CrossFit Coaches Class,23:30,0,,1,0,Time,
09/27/2019,2min Double-Unders,Get as many double-unders as possible in two minutes. Record your largest unbroken set in the notes,8435223,Fitness Battalion,CrossFit: 12:00,134 Reps,1,PR by 4 reps vs. 130 on 06/28/2019,1,0,AMRAP - Reps,
09/27/2019,Diane,"21-15-9  
Deadlifts, 225# / 155#  
Handstand Push-ups",115,Fitness Battalion,CrossFit: 12:00,17:30,0,,1,0,Time,need to work on finish position 
09/27/2019,Max Double-Unders,Max set of Unbroken Double-Unders,165,Fitness Battalion,CrossFit: 12:00,35 Reps,0,,1,0,AMRAP - Reps,
09/25/2019,Metcon,"5 Rounds of 8min
15/10cal Bike
75m Frog Jump
16 Slosh Ball Lunge [130/84]
10 SB Squats
AMRAP SB Over Shoulder",13323610,Fitness Battalion,CrossFit: 18:30,45 Reps,0,,1,0,AMRAP - Reps,
09/19/2019,Cindy,"20-Minute AMRAP of: 
5 Pull-ups  
10 Push-ups 
15 Squats",106,Fitness Battalion,CrossFit Coaches Class,18 + 1,1,PR by 8 rounds vs. 10 + 0 on 11/30/2018,1,0,AMRAP - Rounds and Reps,
09/18/2019,Metcon,"15min AMRAP
10 Atomic Sit Ups [70/53]
10 KB Floor Presses [53s/35s]
20 KB Bent Over Rows",13259327,Fitness Battalion,CrossFit: 18:30,2 + 2,0,,1,0,AMRAP - Rounds and Reps,
09/17/2019,Metcon,"4 Rounds
400m Run
20 WB Shots [20/14]
20 Box Dips
750m Arm Bike
20 Hang Power Cleans [95/65]
20 Push Press",13259265,Fitness Battalion,CrossFit Coaches Class,33:12,0,,1,0,Time,
09/13/2019,Metcon,"500m Bike
20 DL [185/115]
500m Bike
10 Front Rack Lunges
500m Bike
5 Clean and Jerks
500m Bike
10 Front Rack Lunges
500m Bike
20 DL
500m Bike",13173581,Fitness Battalion,CrossFit: 12:00,14:42,0,,1,0,Time,145#
09/12/2019,Metcon,"3 Rounds
1 Bear Complex [185/115]
15m DB Bear Crawl [50s/35s]",13173572,Fitness Battalion,CrossFit Coaches Class,5:35,0,,1,0,Time,
09/11/2019,Metcon,"9-6-3
Hang Squat Cleans [185/115]
Body Levers",13173563,Fitness Battalion,CrossFit: 18:30,8:54,0,,0,0,Time,"140#, negative only body levers"
09/10/2019,Metcon,"15min AMRAP
16 Tire Flips [345/225]
5 OHS [155/105]
10 KB WB Shots [70/53]",13173554,Fitness Battalion,CrossFit Coaches Class,4 + 4,0,,1,0,AMRAP - Rounds and Reps,
09/04/2019,Metcon,"180m Indoor Sled Push [3x45,45+25]
10 Strict HSPU
10 Bear Complexes [195/120]
180m Slosh Ball Carry [120/84]
10 Bear Complexes
10 Strict HSPU
180m Indoor Sled Push",13060651,Fitness Battalion,CrossFit: 18:30,45:00,0,,0,0,Time,"ladder 0+15n, ab mat + 10s, 105#: minus 150m"
09/03/2019,Randy Smash,40 Hang Squat Snatches [135/95],7815050,Fitness Battalion,CrossFit Coaches Class,9:00,0,,1,0,Time,
09/03/2019,Randy,"For Time:  
75 Power Snatches, 75#",193,Fitness Battalion,CrossFit Coaches Class,3:46,0,,1,0,Time,
09/02/2019,Metcon,"15min AMRAP
25 WB Shots [20/14]
1 Lap Around the Rig MB OH Walking Lunges",13060617,Fitness Battalion,CrossFit Coaches Class,6 + 2,0,,1,0,AMRAP - Rounds and Reps,
08/28/2019,Metcon,"15min AMRAP
10 DB Push Presses [50s/35s]
5 Power Cleans [225/135]",13026340,Fitness Battalion,CrossFit: 18:30,5 + 10,0,,1,0,AMRAP - Rounds and Reps,150#
08/27/2019,Metcon,"4 Rounds
5 Shoulder Presses [95/65]
10 Push Presses
15 Jerks
(Each time you break within a round, complete a 30m bear crawl before continuing)",13026312,Fitness Battalion,CrossFit Coaches Class,13:42,0,,1,0,Time,Did a harder version on accident with no breaks between rounds because I can't read directions and I regret everything
08/26/2019,Fran Smash,"15-12-9
Thrusters [135/95]
Bar Muscle Ups",8755287,Fitness Battalion,CrossFit: 6:30,10:10,0,,0,0,Time,assisted ring muscle ups
08/21/2019,Amanda,"3 Rounds for time of 9-7-5 reps of:  

Ring Muscle-ups  
Snatch, 135#/95#",89,Fitness Battalion,CrossFit: 17:30,11:06,0,,0,0,Time,pulley mu
08/20/2019,Metcon,"15min AMRAP
16 Tire Flips [345/225]
7 Thrusters [135/85]
15 MB GHD Sit Ups [20/14]",12962921,Fitness Battalion,CrossFit Coaches Class,4 + 3,0,,1,0,AMRAP - Rounds and Reps,
08/19/2019,Metcon,"5 Rounds of 10min
1min Max Cal Bike
n Front Rack Lunges [135/85]
(guys n=50-cals; girls n=50-(cals/.7))",12962905,Fitness Battalion,CrossFit: 6:30,107 Calories,0,,1,0,Calories,
08/13/2019,Grace,"For Time:  
30 Clean and Jerks, 135# / 95#",128,Fitness Battalion,CrossFit: 12:00,2:12,1,PR by 0:23 vs. 2:35 on 06/10/2018,1,0,Time,
08/12/2019,Metcon,"4 Rounds
400m Run
3 Legless Rope Climbs
7 Squat Snatches [185/130]
(20min Cut Off)",12898819,Fitness Battalion,Open Gym: 15:00,20:00,0,,0,0,Time,"115#, legs on climb: 3 + 1"
08/12/2019,Metcon,"4 Rounds
400m Run
3 Legless Rope Climbs
7 Squat Snatches [185/130]
(20min Cut Off)",12898819,Fitness Battalion,CrossFit Coaches Class,20:00,0,,0,0,Time,"115#, legs: 3+1"
08/07/2019,Metcon,"15min AMRAP
20cal Bike
3 Clean and Jerks [185/115]",12705790,Fitness Battalion,CrossFit: 17:30,5 + 16,0,,1,0,AMRAP - Rounds and Reps,135#
08/06/2019,Kyle,"1min Sumo Squat Hold
100m Sprint
50 Box Jumps [20""""]
90m Frog Jumps
50 Burpee Tuck Jumps
90m Walking Lunges
50 Toes to Bar
100m Sprint
50 Squat Jumps
90m Frog Jumps
50 Strict Pull Ups
90m Walking Lunges
50 Pistols
1min Sumo Squat Hold",8049789,Fitness Battalion,CrossFit: 12:00,41:39,0,,0,0,Time,kipping pull ups
08/01/2019,Metcon,"5 Rounds of 8min
500m Legless Bike
25 Goblet GHD Sit Ups [50/25]
10 DB Shoulder Presses [50s/25s]
20 KB Swings [70/53]
AMRAP RIng Push Ups",12705561,Fitness Battalion,CrossFit: 17:30,70 Reps,0,,1,0,AMRAP - Reps,
07/31/2019,Fran,"21-15-9  
Thrusters, 95# / 65#  
Pull-ups",123,Fitness Battalion,CrossFit Coaches Class,6:31,1,PR by 0:37 vs. 7:08 on 02/11/2019,1,0,Time,
07/30/2019,Metcon,"15min AMRAP
6 Front Rack Lunges [135/95]
3 Barbell Burpees",12705524,Fitness Battalion,CrossFit Coaches Class,12 + 0,0,,1,0,AMRAP - Rounds and Reps,
07/29/2019,Fight Gone Worse,"3 Rounds
1min Thrusters [95/65]
1min Power Cleans [95/65]
1min Back Squat Jumps [95/65]
1min Pull Ups
1min Backwards Bear Crawls [Meters]
1min Rest",8838057,Fitness Battalion,CrossFit: 12:00,243 Total Reps,0,,1,0,Each Round For Reps,
07/26/2019,Metcon,"5 Rounds
20m Back Rack Carry [315/190]
90m Slosh Ball Carry [130/82]
15 Slosh Ball Over Shoulders",12641833,Fitness Battalion,CrossFit: 12:00,44:58,0,,1,0,Time,200#
07/24/2019,Metcon,"5 Rounds
1min Belt Walks [100/70]
10 Back Rack Walking Lunges [185/115]
30sec Ring Stand",12641798,Fitness Battalion,CrossFit: 12:00,13:56,0,,1,0,Time,
07/22/2019,Metcon,"15min AMRAP
5 Hang Power Cleans [135/95]
5 Thrusters
5 Strict Pull Ups",12641775,Fitness Battalion,CrossFit: 12:00,4 + 3,0,,0,0,AMRAP - Rounds and Reps,"about half strict, half kip up control down"
07/18/2019,Metcon,"2000m Row
50 Push Ups
2000m Bike
100 WB Shots [20/14]
2000m Bike
50 Push Ups
2000m Row",12641333,Fitness Battalion,CrossFit: 18:30,38:50,0,,1,0,Time,
07/17/2019,Metcon,"15min AMRAP
5 Clean and Jerks [135/95]
10 MB TTB [10/8]
1 Strict Muscle Up",12641315,Fitness Battalion,CrossFit: 12:00,4 + 1,0,,0,0,AMRAP - Rounds and Reps,green 24-4 mar mu
07/15/2019,Metcon,"15-12-9
DB Burpees [15s/8s]
Strict Pull Ups",12641264,Fitness Battalion,CrossFit: 17:30,10:50,0,,0,0,Time,kipping with a controlled decent
07/10/2019,Metcon,"21-15-9
Deadlifts [225/135]
Burpees",12561334,Fitness Battalion,CrossFit: 17:30,7:05,0,,1,0,Time,
07/09/2019,Metcon,"3 Rounds
0:00-1:00 Max Cal Bike
1:00-5:00 Rest
5:00-15:00
15-12-9
KB Swings [70/53]
Atomic Sit Ups",12561315,Fitness Battalion,CrossFit: 17:30,74 Calories,0,,1,0,Calories,
07/04/2019,Murph,"For Time:  
1-Mile Run  
100 Pull-ups  
200 Push-ups  
300 Air Squats  
1-Mile Run   
If you have a 20# vest or body armor, wear it.",182,Fitness Battalion,CrossFit: 10:00,46:23,0,,1,0,Time,
07/03/2019,Metcon,"15min AMRAP
10 KB Swings [70/53]
10 KB Front Rack Lunges (Right Arm)
10 KB Swings
10 KB Front Rack Lunges (Left Arm)
20 Burpee Tuck Jumps",12493768,Fitness Battalion,CrossFit: 17:30,2 + 18,0,,0,0,AMRAP - Rounds and Reps,44# lunges
07/01/2019,Fight Gone Bad,"Three rounds of:   
Wall-ball Shots (Reps), 20#
Sumo deadlift high-pull (Reps),  75# 
Box Jumps, 20""  (Reps)
Push-press (Reps), 75#
Row (Calories)  
1-minute rest",34267,Fitness Battalion,CrossFit: 17:30,319 Total Reps,1,PR by 76 reps vs. 243 on 12/31/2017,1,0,Each Round For Reps,
06/29/2019,Metcon,"Class Split Into Two Teams

45min Game Time

For time complete:
100 KB Swings [70/53][53/35][RKB]
120m Bear Crawl

The team that finishes first then rows for distance while the other team completes 200 burpees. When their burpees are finished, repeat the process with WB shots in place of KB Swings. Third round: V-Ups. Fourth: KB Swings. Fifth: WB shots . . .",12438966,Fitness Battalion,CrossFit: 09:00,1500 meters,0,,1,0,Distance,
06/28/2019,2min Double-Unders,Get as many double-unders as possible in two minutes. Record your largest unbroken set in the notes,8435223,Fitness Battalion,CrossFit: 17:30,130 Reps,1,PR by 8 reps vs. 122 on 05/14/2019,1,0,AMRAP - Reps,
